family,level,altitude_m,horizontal_distance_m,range_std_m,aoa_std_deg,attitude_std_deg,position_covariance_scale,visual_available,vision_only_rank,pixel_u,pixel_v,peb_rf_m,peb_joint_m,zeb_rf_m,zeb_joint_m,gain_peb,gain_zeb
reference,nominal,90.0,60.0,1.0,1.0,0.2,1.0,1,2,320.0,304.0,2.4628780781145054,1.370265050828465,1.3685011187387202,0.9187966784908764,0.4436326089363332,0.3286109408973769
reference,nominal,90.0,80.0,1.0,1.0,0.2,1.0,1,2,320.0,258.8235294117647,2.7999750499771943,1.453687919860944,1.620541340341401,0.8982525871776156,0.4808211166478843,0.4457083168341884
reference,nominal,90.0,100.0,1.0,1.0,0.2,1.0,1,2,320.0,223.1578947368421,3.1813260631154527,1.542070443958667,1.9119453386371863,0.9022312837463476,0.5152743185184461,0.5281082228064908
reference,nominal,90.0,120.0,1.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,3.592867120524445,1.6349994694023455,2.2275435974915836,0.9281764553693196,0.5449318289389764,0.5833183887334323
reference,nominal,90.0,140.0,1.0,1.0,0.2,1.0,1,2,320.0,170.43478260869566,4.025349197045973,1.7320481221203117,2.5576825951426114,0.9709818000346107,0.5697148154521884,0.6203665764162302
reference,nominal,90.0,160.0,1.0,1.0,0.2,1.0,1,2,320.0,150.4,4.472701818486985,1.8327922557541934,2.8966342999224772,1.025784428092897,0.5902270417002253,0.6458702335602564
reference,nominal,90.0,180.0,1.0,1.0,0.2,1.0,1,2,320.0,133.33333333333331,4.930879266678509,1.9368222624811364,3.241047450614219,1.0888509876159498,0.607205498708996,0.6640434908135643
reference,nominal,90.0,200.0,1.0,1.0,0.2,1.0,1,2,320.0,118.62068965517241,5.397125393628379,2.043754911101795,3.588939095544288,1.1575667109922132,0.6213252866952902,0.6774627041095942
reference,nominal,105.0,20.0,1.0,1.0,0.2,1.0,1,2,320.0,457.6,2.236184543069485,1.258327610947417,1.0638185492424137,1.0067573285242635,0.4372881187971269,0.05363811409265775
reference,nominal,105.0,40.0,1.0,1.0,0.2,1.0,1,2,320.0,383.44827586206895,2.4001763248666763,1.3390490270801685,1.1917007649816107,0.9773775379564693,0.4421038932818616,0.17984651291924666
reference,nominal,105.0,60.0,1.0,1.0,0.2,1.0,1,2,320.0,327.27272727272725,2.651047879002417,1.4231668537331947,1.3908032835478892,0.9494028182955694,0.46316818153102196,0.31737088233378563
reference,nominal,105.0,80.0,1.0,1.0,0.2,1.0,1,2,320.0,283.2432432432432,2.9668412006039353,1.5112577424121223,1.6432422728661136,0.9364643660584644,0.4906172456737866,0.43011180912167013
reference,nominal,105.0,100.0,1.0,1.0,0.2,1.0,1,2,320.0,247.8048780487805,3.3291323117238636,1.603339507664282,1.931941228129021,0.943997742759229,0.5183911729738209,0.5113734677770508
reference,nominal,105.0,120.0,1.0,1.0,0.2,1.0,1,2,320.0,218.66666666666666,3.7243765350527918,1.6991423409171786,2.2440095359222116,0.9710919012976429,0.5437780458218106,0.5672514373257522
