cell_id,realization,rf_error_3d_m,joint_error_3d_m,rf_error_z_m,joint_error_z_m
0,67,3.5826119767316182,3.4415349857840036,2.1140301621519093,2.518737185156438
0,68,2.589793074872112,2.42435255892714,1.4147840355414658,1.7916556051531445
0,69,2.200897387028677,2.113133252262006,2.104628922810363,1.5680583257637926
0,70,1.327975512420387,1.3496564140459308,1.0352349286307323,0.8709481486211057
0,71,1.8203101876095011,1.1130494083776201,0.023956470837280364,0.7468894476360979
0,72,1.7356633752661685,1.533291404966528,0.5955325178800841,0.882201611263191
0,73,1.240922928567942,1.2329545791950114,0.93043404956601,1.0222861997805301
0,74,2.416596177855262,1.2465232800587582,2.106884624119772,1.2142983321384373
0,75,0.8908962389051643,0.33332975297149664,0.4244652492272323,0.049160179451804176
0,76,1.007452161774653,0.5860574493319798,0.48300033599756986,0.38685100358059854
0,77,1.6583001762868126,1.4246937310761523,1.563102278850625,1.2510698361193398
0,78,3.2026645687869286,3.1828546082759375,2.805971583618188,2.7066926504638555
0,79,1.1570071194433413,0.6534749136293646,0.8535908287093328,0.564261210657952
0,80,0.6427116848561951,0.7152504085229658,0.2755418769741276,0.3669414943791338
0,81,1.859056532095985,1.7967091306844263,1.170602861896512,1.2974664733750338
0,82,2.130072746295263,1.9756316115921604,2.0484261583211634,1.5991296419124983
0,83,1.9660793398767265,1.8463897998870968,1.85466118811474,1.512533818523608
0,84,0.6384805774802932,0.2974429105910876,0.446708657638883,0.22506710155740062
0,85,3.008825218481576,2.7931436051541865,2.842428648079075,2.4845943718154384
0,86,1.758429369031735,1.7606186020333066,1.3114309717888837,1.2836469092634717
0,87,2.420319587669197,1.960469326486882,2.203274548123453,1.5382289964135127
0,88,2.1184539721398195,1.9109925799920233,2.062915044889138,1.5831169274254238
0,89,0.3463021116291798,0.2233491322270515,0.016428035674852737,0.08718757860373594
0,90,1.2689102710914695,1.2027837062045803,1.2320658706542815,1.0514843892770975
0,91,1.4654026423944189,1.0802260433284459,0.9578421881497583,0.840446033478147
0,92,1.800903559184619,1.4338063783596104,1.7800695395828399,1.3363896261904178
0,93,2.070573222947989,1.7268755110776997,2.0695175750386703,1.4055299453398176
0,94,2.006741096091662,1.8543561239835027,1.9660500606338616,1.6326241468068803
0,95,3.4588274881591627,3.293676401581113,2.1376464426696273,2.63455679013075
0,96,1.235972973447303,0.9602545208812453,1.1959510839209102,0.9472518516523442
0,97,0.46837187982524836,0.4905617334925172,0.24845026594087827,0.3022910095040394
0,98,1.6593479062323866,1.6301126391243927,1.0218009379613875,1.4931424674481817
0,99,4.125804080101552,3.933425005640642,3.831428309042142,3.35248442705538
0,100,2.6617833175635304,2.6947988285970523,2.121948983325751,2.3802273216127507
0,101,1.029921816495643,0.8606793420802167,0.5913842989340239,0.5127411790161479
0,102,0.9038687053312051,0.5505947739242862,0.8551639650618164,0.3964431535816244
0,103,1.0817883221254698,0.9743307231658926,0.9607544547966285,0.7562757964082405
0,104,1.7419240155586047,1.300774092673071,1.433006786311843,1.2201978480948972
0,105,1.2590946800890088,0.061287611208490446,0.7190734835481862,0.02811751942987839
0,106,2.1520716623116147,1.6742227638753413,0.6029080042236608,1.231540272396832
0,107,1.186411741382281,0.947404629549861,0.3681938931693054,0.7558922404908457
0,108,3.2107561494032724,2.9226312823080725,3.1918650807489506,2.738303032665077
0,109,2.997682355099997,2.985644302897935,2.2334721661941295,2.417607708554054
0,110,2.047601619739831,1.868341841288977,1.0967082428600428,1.5149150254614123
0,111,1.5802681749883702,1.500019668827053,1.4995533628947761,1.2445462938581582
0,112,2.0857640431388202,1.7938379345182511,0.8641350964378773,1.341628637301186
0,113,1.6849634799476747,1.1692310482023824,1.553986160948945,0.9383799267740967
0,114,0.15270952362232076,0.129203610825843,0.0434595148324739,0.01943343671317921
0,115,0.9707782771975667,0.9541350205052503,0.3648816062200524,0.41005768495611994
0,116,2.039091723336146,1.9625718163977768,1.5895201497229223,1.4696444926375252
0,117,2.03936749034002,0.7945945305391647,0.808907353286596,0.06287795084514647
0,118,2.071006556388057,1.4544065331197085,0.3323389905625902,0.8895251191501412
0,119,0.9055572964807213,0.8544915683273598,0.7520725494119418,0.6888023103154757
0,120,1.664262335290503,1.5887365405063782,1.563418613979458,1.350806425013656
0,121,1.1148132323626792,1.118144373411068,0.8518265561243616,1.008724559949194
0,122,1.4664412342186537,0.7663933823649144,1.2161434391791488,0.5558507779571022
0,123,0.9593568066946774,0.7432512194695444,0.22119816021972483,0.5594131006245422
0,124,0.43137150772266286,0.24118835727586982,0.3433974224322256,0.1645830649854807
0,125,0.3553673102283022,0.35023077516768125,0.09626243085429564,0.2242046973229892
0,126,2.449208103997583,2.3780417605910014,2.3637630369125624,1.5603947866620669
0,127,2.399200636746608,2.3668316871458495,1.7517312985397915,1.9161296413497122
0,128,0.5617543399311743,0.517627778549475,0.3255314959207958,0.4047009421359731
0,129,1.2663840704108489,0.9735740029394085,0.2543312223222607,0.6556567770292352
0,130,2.2242263049777704,2.22014671502871,1.9626501328210963,1.4027561737508507
0,131,1.8909199306527982,1.7091626829914564,0.93133551500609,1.2673878673479626
0,132,1.5153877268162395,1.372650547567181,1.0788441656952088,0.9765302141301598
0,133,1.5952408006494736,1.5481249932169197,1.0321779105817228,1.234516136190333
0,134,1.6323230617810183,0.48154992352254256,1.1801737585751049,0.42848594673955476
0,135,1.94788517038248,1.9268929181642938,1.7238434226973425,1.344818087541293
0,136,1.4760073498052615,1.3913351691845195,1.0682700871213058,1.0695416248180474
0,137,1.459350995727291,1.330328746440235,1.3505330171830359,1.0797287466037602
0,138,3.516755045406314,3.516177834759089,2.924422366384558,2.770069400278315
0,139,3.753148004640021,3.69059664716153,3.372293676925338,3.168764001537477
0,140,0.6876045567932467,0.6509323696176768,0.6386540474689326,0.40686884303199267
0,141,0.27181398306264265,0.4239607107804078,0.03807999545205831,0.18325762731118234
0,142,1.556243855882226,0.9915894486422325,1.4839627248252256,0.6640473929881994
0,143,2.633147759280199,2.5161871039064274,2.4482585677819095,2.2551897572379356
0,144,0.1554788088894291,0.12309172746229718,0.026071109045130214,0.0026468467863489664
0,145,0.684085822681684,0.21929039467645964,0.48318562598103654,0.11432615257851464
0,146,2.9252794664067405,2.828389995302477,1.8872475687516008,2.2506706573934037
0,147,1.345492031050016,1.2709057105133397,1.2861081999257848,0.9440932275295302
0,148,0.66355652952985,0.6074762150378566,0.3364067570278486,0.5026557849481756
0,149,1.9539678798926257,1.9135586574680568,1.7963561955753669,1.417719399569702
0,150,2.1063666517590147,1.717775611317396,1.0647732539689727,1.3586291482221764
0,151,1.7096008320304785,1.6585023767657399,1.3781130585050434,1.4995871674928964
0,152,2.9984215509516687,2.867185446093568,2.8599293004075044,2.3369894937826747
0,153,2.2739533322332472,2.2639639794651627,2.082457847568417,1.6094276245249899
0,154,1.1233827592307235,0.799946300762853,0.6788212051273597,0.47675158806993356
0,155,0.5778545598493116,0.5033204149965492,0.011557705739342339,0.008983908920254136
0,156,2.5550551669991792,2.0393579515775526,2.4771364549224266,1.8812460756317235
0,157,2.506583736951331,2.327996085109608,2.443110412662712,1.9496919104946593
