family,level,altitude_m,horizontal_distance_m,range_std_m,aoa_std_deg,attitude_std_deg,position_covariance_scale,visual_available,vision_only_rank,pixel_u,pixel_v,peb_rf_m,peb_joint_m,zeb_rf_m,zeb_joint_m,gain_peb,gain_zeb
pose_quality,attitude_log_level_0,60.0,40.0,1.0,1.0,0.05,1.0,1,2,320.0,304.0,1.788663888902572,1.1566857872884728,1.104949787839055,0.8739307371790654,0.35332412396487023,0.2090765147905883
pose_quality,attitude_log_level_1,60.0,40.0,1.0,1.0,0.0889139705,1.0,1,2,320.0,304.0,1.7934446913543927,1.1640650170838116,1.1061413577894172,0.875436807058618,0.35093341729723454,0.20856696940782846
pose_quality,attitude_log_level_2,60.0,40.0,1.0,1.0,0.158113883,1.0,1,2,320.0,304.0,1.8084797437864013,1.1870983475419425,1.1099010139452061,0.8801824586398943,0.34359322982710155,0.20697211050268724
pose_quality,attitude_log_level_3,60.0,40.0,1.0,1.0,0.2811706626,1.0,1,2,320.0,304.0,1.8552230374123542,1.257161891562341,1.1217071625104897,0.8950239427904184,0.322366170422389,0.20208769926433584
pose_quality,attitude_log_level_4,60.0,40.0,1.0,1.0,0.5,1.0,1,2,320.0,304.0,1.9958466238654362,1.4567111069275689,1.1582497709393726,0.9404166266192242,0.2701287315824409,0.18807095825581707
position_sensitivity,position_covariance_x4,60.0,40.0,1.0,1.0,0.2,4.0,1,2,320.0,304.0,1.917842355664534,1.3478585994947578,1.1658435052925307,0.9497536409898869,0.2972005256252026,0.18535066097779823
reference,nominal,60.0,60.0,1.0,1.0,0.2,1.0,1,2,320.0,240.0,2.141337845248525,1.2722439331391593,1.2963362294101932,0.8110392252554277,0.4058649194651011,0.3743604422562238
rf_quality,paired_log_level_0,60.0,60.0,0.5,0.25,0.2,1.0,1,2,320.0,240.0,0.8666466362671539,0.8163407472825647,0.5266913972159556,0.49398278983120614,0.058046598093622365,0.06210203462149615
rf_quality,paired_log_level_1,60.0,60.0,1.0,0.5,0.2,1.0,1,2,320.0,240.0,1.4553098182934305,1.2374703978346413,0.9262940063809784,0.8021011137220966,0.14968594159162527,0.13407502564342633
rf_quality,paired_log_level_2,60.0,60.0,2.0,1.0,0.2,1.0,1,2,320.0,240.0,2.754147375775958,2.149093908001555,1.7833921665414585,1.4689399664053409,0.21968812311793384,0.17632251954203454
rf_quality,paired_log_level_3,60.0,60.0,4.0,2.0,0.2,1.0,1,2,320.0,240.0,5.427239829654016,4.080986714479109,3.5313390878500877,2.857105270562344,0.24805484139821585,0.19092865355454258
pose_quality,attitude_log_level_0,60.0,60.0,1.0,1.0,0.05,1.0,1,2,320.0,240.0,2.1025780272819308,1.2058653402119885,1.2803766117866382,0.785277831873356,0.42648247790791916,0.38668214910800436
pose_quality,attitude_log_level_1,60.0,60.0,1.0,1.0,0.0889139705,1.0,1,2,320.0,240.0,2.1082092848454494,1.2156575367365445,1.2826894694294397,0.7890432689065067,0.4233696125545415,0.3848524621805109
pose_quality,attitude_log_level_2,60.0,60.0,1.0,1.0,0.158113883,1.0,1,2,320.0,240.0,2.125918720179111,1.246116873621327,1.2899760769138455,0.8008341177993871,0.4138454768786549,0.3791868452976955
pose_quality,attitude_log_level_3,60.0,60.0,1.0,1.0,0.2811706626,1.0,1,2,320.0,240.0,2.1809747095839116,1.3378817368364169,1.312752203871391,0.8370276900979333,0.38656705602438685,0.3623871377785658
pose_quality,attitude_log_level_4,60.0,60.0,1.0,1.0,0.5,1.0,1,2,320.0,240.0,2.3465913246512704,1.5936648652851715,1.3823090786941206,0.9423775221542989,0.3208596449908005,0.3182584584884799
position_sensitivity,position_covariance_x4,60.0,60.0,1.0,1.0,0.2,4.0,1,2,320.0,240.0,2.223809292069263,1.4066288157895097,1.3418224993200243,0.8819209856347249,0.36746877495028535,0.34274392769413015
reference,nominal,60.0,80.0,1.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,2.521788972204333,1.3454818657592862,1.5580544105070055,0.7778921754193485,0.4664573917209335,0.5007284917821226
rf_quality,paired_log_level_0,60.0,80.0,0.5,0.25,0.2,1.0,1,2,320.0,194.28571428571428,0.9622508982124898,0.8906450628864246,0.5743074328093629,0.5191459274836184,0.07441493217525967,0.0960487400553197
rf_quality,paired_log_level_1,60.0,80.0,1.0,0.5,0.2,1.0,1,2,320.0,194.28571428571428,1.6163617654952347,1.304580896484846,0.9825324071622936,0.7624095259112758,0.192890524674631,0.22403625534018462
rf_quality,paired_log_level_2,60.0,80.0,2.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,3.0593168551706746,2.1932445032615693,1.8728410359932666,1.298120270459808,0.28309338094395864,0.30687108755530534
rf_quality,paired_log_level_3,60.0,80.0,4.0,2.0,0.2,1.0,1,2,320.0,194.28571428571428,6.028813869563187,4.1050540594451155,3.698133043307817,2.4522403545316522,0.3190942450272488,0.336897746561808
pose_quality,attitude_log_level_0,60.0,80.0,1.0,1.0,0.05,1.0,1,2,320.0,194.28571428571428,2.4760768476546433,1.2577195181148526,1.5344136878141832,0.72938882348843,0.49205150102422185,0.5246465609105289
pose_quality,attitude_log_level_1,60.0,80.0,1.0,1.0,0.0889139705,1.0,1,2,320.0,194.28571428571428,2.4827182537642876,1.270744568483413,1.537843959710508,0.7365777181644911,0.4881640046925521,0.5210322129800813
pose_quality,attitude_log_level_2,60.0,80.0,1.0,1.0,0.158113883,1.0,1,2,320.0,194.28571428571428,2.5036042807079464,1.3110820817686653,1.5486414284125352,0.758862941692327,0.476322160066794,0.5099815052279635
pose_quality,attitude_log_level_3,60.0,80.0,1.0,1.0,0.2811706626,1.0,1,2,320.0,194.28571428571428,2.568534234785157,1.4311778177497982,1.5823011927185568,0.825384610322292,0.4428036822061249,0.4783644137282131
pose_quality,attitude_log_level_4,60.0,80.0,1.0,1.0,0.5,1.0,1,2,320.0,194.28571428571428,2.7638402239340034,1.7577584060931886,1.684321631486596,1.0072348528381962,0.3640159113137065,0.40199375581895097
position_sensitivity,position_covariance_x4,60.0,80.0,1.0,1.0,0.2,4.0,1,2,320.0,194.28571428571428,2.592184333787122,1.473201089833662,1.596099478760748,0.8515375720299406,0.43167579919698496,0.46648840917416007
reference,nominal,60.0,100.0,1.0,1.0,0.2,1.0,1,2,320.0,160.0,2.939454857570407,1.4260229410649083,1.863525435333446,0.7817875153254479,0.5148682289192966,0.58047928914608
rf_quality,paired_log_level_0,60.0,100.0,0.5,0.25,0.2,1.0,1,2,320.0,160.0,1.0727229124584476,0.9747970291098398,0.6468456739204581,0.5662329120813221,0.09128721146095689,0.12462441211139472
rf_quality,paired_log_level_1,60.0,100.0,1.0,0.5,0.2,1.0,1,2,320.0,160.0,1.8024057616057265,1.3799468070845733,1.0899983485007654,0.7606991369664705,0.23438615406155447,0.3021098261178362
rf_quality,paired_log_level_2,60.0,100.0,2.0,1.0,0.2,1.0,1,2,320.0,160.0,3.4118022890686768,2.2435555327300034,2.065634211372753,1.1854574501759059,0.34241338077581596,0.42610485261662584
rf_quality,paired_log_level_3,60.0,100.0,4.0,2.0,0.2,1.0,1,2,320.0,160.0,6.723638016772856,4.132833878347809,4.07208028862768,2.143091918984206,0.3853277246576928,0.4737107897972111
pose_quality,attitude_log_level_0,60.0,100.0,1.0,1.0,0.05,1.0,1,2,320.0,160.0,2.8861193827546043,1.3125668212555763,1.8326198503003002,0.704954031621014,0.5452139543850675,0.6153299160731575
pose_quality,attitude_log_level_1,60.0,100.0,1.0,1.0,0.0889139705,1.0,1,2,320.0,160.0,2.8938684278219613,1.3295191033956226,1.837107019679641,0.7165381167392568,0.540573755664396,0.6099638676116929
pose_quality,attitude_log_level_2,60.0,100.0,1.0,1.0,0.158113883,1.0,1,2,320.0,160.0,2.918237644949298,1.3817588505771818,1.8512251173637944,0.7519967460984266,0.5265091405531543,0.5937842788297435
pose_quality,attitude_log_level_3,60.0,100.0,1.0,1.0,0.2811706626,1.0,1,2,320.0,160.0,2.9939947917125314,1.5353017232944512,1.8951784337103204,0.8544974936093905,0.48720628120522685,0.5491202947384314
pose_quality,attitude_log_level_4,60.0,100.0,1.0,1.0,0.5,1.0,1,2,320.0,160.0,3.2218580914615003,1.9425540224830524,2.0279111493570907,1.118431178334556,0.39707027207959045,0.44848117300941287
position_sensitivity,position_covariance_x4,60.0,100.0,1.0,1.0,0.2,4.0,1,2,320.0,160.0,3.0000658092272343,1.5471074392049864,1.8954490360161915,0.8550974910024806,0.4843088326774089,0.5488681179211742
reference,nominal,60.0,120.0,1.0,1.0,0.2,1.0,1,2,320.0,133.33333333333331,3.3805699941847407,1.513095499144063,2.1913353186415234,0.8125669813709662,0.552414089414835,0.6291909437781975
rf_quality,paired_log_level_0,60.0,120.0,0.5,0.25,0.2,1.0,1,2,320.0,133.33333333333331,1.1939427790145327,1.0663081527020442,0.7345851289028263,0.6269038748844616,0.10690179509091448,0.1465878490886373
rf_quality,paired_log_level_1,60.0,120.0,1.0,0.5,0.2,1.0,1,2,320.0,133.33333333333331,2.0065019772642136,1.4624369864987883,1.2296675750093173,0.7873692663514993,0.2711509866076666,0.3596893320167987
rf_quality,paired_log_level_2,60.0,120.0,2.0,1.0,0.2,1.0,1,2,320.0,133.33333333333331,3.7984540915459566,2.2998821686186495,2.324209646035776,1.1226152943971166,0.39452153081502533,0.5169905192021407
rf_quality,paired_log_level_3,60.0,120.0,4.0,2.0,0.2,1.0,1,2,320.0,133.33333333333331,7.485790986185113,4.164398289385321,4.578364665850849,1.9166737527354123,0.44369295147691934,0.5813628025238975
pose_quality,attitude_log_level_0,60.0,120.0,1.0,1.0,0.05,1.0,1,2,320.0,133.33333333333331,3.319189655453596,1.3704832989927185,2.153475579624929,0.7041105683978204,0.5871030458470653,0.6730352667753701
pose_quality,attitude_log_level_1,60.0,120.0,1.0,1.0,0.0889139705,1.0,1,2,320.0,133.33333333333331,3.328107576178936,1.391942722444941,2.1589740850553794,0.720752190721117,0.5817614994155156,0.6661598693054117
pose_quality,attitude_log_level_2,60.0,120.0,1.0,1.0,0.158113883,1.0,1,2,320.0,133.33333333333331,3.356152570856724,1.457725825666817,2.1762704602232095,0.7710173386693175,0.5656556742011571,0.6457162136960504
pose_quality,attitude_log_level_3,60.0,120.0,1.0,1.0,0.2811706626,1.0,1,2,320.0,133.33333333333331,3.443335704873952,1.6485646121422104,2.230083719297726,0.911914478207992,0.5212303552602465,0.5910850923143091
pose_quality,attitude_log_level_4,60.0,120.0,1.0,1.0,0.5,1.0,1,2,320.0,133.33333333333331,3.7055581467802843,2.142980560601877,2.392302981681199,1.2575484788465732,0.4216848108391208,0.4743356136425384
